Genename,TSS1,TSS2,TSS3,RNA1,RNA2,RNA3,Distal1,Distal2,Distal3
IFIT2,-0.689195634154367,-0.7248679530140898,1.4140635871684568,-0.7066996265276637,-0.7075138577133798,1.4142134842410432,0.0345958329530555,-1.2416762674190431,1.2070804344659876
IFIT1,-0.6220329688918075,-0.7888954389410249,1.4109284078328324,-0.7079690662116075,-0.7062441455129169,1.4142132117245245,-0.7433385093980711,-0.6702452789045563,1.4135837883026274
HERC5,-0.08495659660011083,-1.1800546388924744,1.2650112354925858,-0.702652853166035,-0.7115513772840231,1.4142042304500577,-0.6601119734102479,-0.7530825717998906,1.4131945452101387
ZC3HAV1,-0.6261334756098562,-0.7850988476331429,1.411232323242999,-0.7123125140096606,-0.7018882419596167,1.4142007559692773,-0.7359691868681472,-0.677846184935677,1.4138153718038242
IFIT3,-1.3141065201356354,0.20445736934104766,1.1096491507945876,-0.70626738812275,-0.7079458422391333,1.4142132303618833,-1.1032339041107306,-0.21464424010788505,1.3178781442186165
OASL,-0.7238835406931824,-0.690196274130048,1.4140798148232303,-0.7093748080014208,-0.704836326894313,1.4142111348957342,-0.7858084680423724,-0.625368219040702,1.4111766870830742
IFIH1,-0.7057544089225796,-0.7084582918426615,1.4142127007652414,-0.707196309788724,-0.7070172488057297,1.4142135585944535,0.16267645221516344,1.1352768645932598,-1.2979533168084223
IFI44,-0.7105936939967528,-0.7036141273233733,1.414207821320126,-0.7123951090855285,-0.7018052367641695,1.4142003458496981,-0.3019228277992047,-1.045546820313727,1.3474696481129316
ANGPT2,-0.9237753056055634,-0.4654630837392293,1.389238389344793,-0.7030872479425743,-0.7111187124909603,1.4142059604335344,-1.0454283193399923,-0.30209474052535745,1.34752305986535
SULF1,-1.414204359803458,0.7115204979830764,0.7026838618203826,-0.7568156646716391,-0.656204431887217,1.4130200965588564,-1.3298114403767576,1.0816804192552967,0.24813102112146185
C11orf96,-0.973400895181226,-0.4017634081431418,1.3751643033243681,-0.7153888847713963,-0.6987922152012084,1.4141810999726045,-1.1057667540707214,-0.21063473944513564,1.3164014935158574
DDX58,-0.7321511440020195,-0.6817631688138165,1.413914312815836,-0.7077243928076438,-0.7064889896985885,1.4142133825062324,-1.4018848844237206,0.8623087277804972,0.5395761566432228
CALY,-0.6733475665780266,-0.7403370295339534,1.41368459611198,-0.7135715093178578,-0.7006222913750397,1.4141938006928976,-0.7294291001524439,-0.6845470430873218,1.413976143239765
WARS,0.16978980712353162,-1.3007808217496992,1.1309910146261692,-0.7549330382823697,-0.6581767982139328,1.4131098364963024,-1.3613867049287107,0.3490765861021727,1.0123101188265384
IFI6,0.2981628094580463,-1.3462965918579135,1.048133782399867,-0.7102467642808182,-0.7039621433821857,1.4142089076630038,-0.8600709969448179,-0.542182794999155,1.402253791943973
DDX60,-0.7079403185850662,-0.7062729161346333,1.4142132347196998,-0.7114863141402779,-0.7027181878042555,1.4142045019445333,1.395140351330683,-0.4971018488237329,-0.8980385025069502
IFITM3,-0.557562063725975,-0.8467603529026835,1.4043224166286583,-0.6689056882055918,-0.7446319001201279,1.4135375883257195,-0.15657454602404716,-1.1389281182203672,1.2955026642444147
GRAMD1B,-0.0656238522036335,-1.190613646835281,1.2562374990389151,-0.6908980347508783,-0.7231926106659875,1.4140906454168658,-0.5982936671452158,-0.8105979640680246,1.4088916312132393
BST2,-1.1668830389312326,1.2753865896055505,-0.1085035506743184,-0.7331801185789932,-0.6807089358835008,1.4138890544624938,-0.9521868524526949,-0.42944793037321327,1.3816347828259081
KLF4,-1.315067908378701,0.20703723137734983,1.10803067700135,-0.9763782759154449,-0.3978210745908054,1.3741993505062502,-0.9397328136603468,-0.44538037912294093,1.3851131927832878
FGF2,-0.9352145635871899,-0.451103929654711,1.3863184932419024,-0.7136195525789748,-0.7005739528423439,1.4141935054213186,-1.1949954533023128,-0.05747509716682481,1.2524705504691376
PIK3AP1,-0.5795167221607102,-0.8274346735166567,1.4069513956773667,-0.7072585566916736,-0.7069549948214623,1.414213551513136,-0.720869503961539,-0.6932541815730016,1.4141236855345407
HIP1R,-0.8036614710615858,-0.605937184155255,1.4095986552168418,-0.681820440704572,-0.7320952153180409,1.4139156560226127,-1.3307417359426963,0.25082916420058293,1.0799125717421094
PLD5,-0.06096018656075317,-1.1931264168938946,1.2540866034546474,-0.7106805611810535,-0.7035269702816198,1.4142075314626734,1.402050727641446,-0.8613073585676926,-0.5407433690737562
RSPO2,-0.8469900835614266,-0.5572984373786127,1.4042885209400395,-0.7109484142855851,-0.7032581783865296,1.4142065926721146,-0.8819065675105227,-0.516481102840685,1.3983876703512075
ACOXL,-1.3197197756406975,0.2196840305347049,1.1000357451059917,-0.7119904963100715,-0.7022117967436,1.4142022930536717,-0.8285455715295776,-0.5782664713550716,1.4068120428846491
PRKCQ,-0.9394036368387902,-0.44579837563877217,1.3852020124775617,-0.9802329210023937,-0.392695844259751,1.3729287652621445,-1.387742350421997,0.9297278618533812,0.45801448856861626
