Genename,TSS1,TSS2,TSS3,RNA1,RNA2,RNA3,Distal1,Distal2,Distal3
SYN3,-1.2906146176397495,1.1460422003053319,0.14457241733441806,-1.292147833915351,1.1438343829258963,0.14831345098945423,0.8649011543317437,0.536548646222212,-1.401449800553958
SEMA3E,-0.30441174068347027,1.348241036672786,-1.043829295989316,-1.16237359781946,1.278801100884097,-0.1164275030646369,-1.1763492950336205,1.2679920877575177,-0.09164279272389791
MGAT4C,-1.338226186569586,0.2730537477511125,1.0651724388184738,-1.2444298217541694,1.204061810023814,0.04036801173035555,-0.6227240042479988,-0.7882566185350021,1.410980622783
OLFML3,-1.4141952630584567,0.7008671855365946,0.7133280775218617,-1.3215080001968533,1.096887527887549,0.224620472309304,-1.288470258814947,1.1490948070526656,0.1393754517622819
DAZL,-0.8638028973611853,-0.5378322342874772,1.401635131648662,-1.4104556594804085,0.6160026960627201,0.794452963417688,-0.9527118780236983,-0.42877115598885746,1.381483034012556
GABRB2,-1.3851079575258487,0.44535575971810876,0.93975219780774,-1.0712852593144784,1.335180571146968,-0.2638953118324901,-0.9985605918244247,-0.3679898801813967,1.3665504720058221
KCNH5,-0.2301368152159497,-1.093351132415974,1.3234879476319261,-1.3550547593319358,1.0280554804066966,0.32699927892523917,-1.199757626269834,1.2482893533449988,-0.04853172707516357
LUZP2,-0.9325372603386655,1.3870187013395907,-0.4544814410009403,-1.3891778130040024,0.9240202750919612,0.4651575379120416,0.8510600000346208,0.5526175641343384,-1.4036775641689587
NFIA,-1.389583701654597,0.9223722807239199,0.46721142093067713,-1.3930576729303483,0.9075803465697269,0.48547732636062196,1.3778698724124043,-0.413061847588152,-0.9648080248242586
SALL3,-1.3931323474199313,0.48588466780787276,0.9072476796120589,-1.2317558432015259,1.2176113817425216,0.014144461459003988,-1.4128153004707842,0.7608566636951083,0.6519586367756754
CACNA1B,-1.1814693570046302,-0.08239058387037347,1.2638599408750024,-1.0172793650843337,1.3594375551477649,-0.3421581900634311,-0.6907299789189804,1.414088093058799,-0.7233581141398182
TEX41,0.3259695253592452,1.0287819516578778,-1.354751477017123,-1.1845757430808277,1.2613059816677699,-0.0767302385869426,-1.412162285060585,0.7720224838068297,0.6401398012537576
FIRRE,-1.2633016576435043,0.08114951969853022,1.1821521379449735,-1.3396766318001894,1.0622028041713636,0.2774738276288261,-0.9682598639629693,1.3767970742460636,-0.40853721028309287
CALN1,-1.2524929781824752,1.194969624459138,0.057523353723337334,-0.7726049443740028,1.4121246789785258,-0.6395197346045227,-1.0407281549633631,1.3496189723119234,-0.3088908173485604
POLR3G,-0.8971859455223303,-0.49813456690793356,1.3953205124302615,-1.1393336330558128,1.2952280850923756,-0.15589445203656294,-1.3791182775985904,0.9607133058244824,0.4184049717741084
FST,-1.337251557765174,0.27010513520027785,1.0671464225648954,-1.0487455541267954,1.3460172086908873,-0.2972716545640923,-1.0657761153470384,1.3379290218280349,-0.27215290648099644
ADAMTS19,-1.0276934960842752,-0.32751200931382385,1.3552055053980936,-0.8576206010143764,1.4026507281629748,-0.545030127148598,-0.666042201576274,1.4134334476675925,-0.7473912460913185
CDH9,-1.0771104180333186,1.3322017679602907,-0.2550913499269714,-0.72174590907645,1.4141118315497776,-0.6923659224733276,-0.5453184878384522,1.4026905753946806,-0.857372087556228
GJA1,-1.0635630046270337,1.3390146169659933,-0.27545161233895676,-0.96731049557411,1.3770939999486833,-0.4097835043745732,-0.40633345131139786,1.3762693830386852,-0.9699359317272891
ROR2,-1.2088061203278475,-0.03127832433105597,1.2400844446589028,-1.1884690789394574,1.2580537440002981,-0.06958466506084102,-1.4087309212525938,0.596625525457792,0.8121053957948019
GRB14,-1.1799467989952999,-0.08515189528514733,1.2650986942804472,-1.1488589904726472,1.2886369335955354,-0.13977794312288766,-1.100429746248473,1.319494263319139,-0.21906451707066543
ZIC3,-0.5320929572054556,-0.8687036320688971,1.4007965892743526,-1.1036887685496115,1.3176141451253378,-0.21392537657572658,-0.5196668345228762,1.3988943400494733,-0.879227505526597
L1TD1,-1.4116673520393146,0.7792943143896841,0.632373037649631,-1.3572802533633732,0.3346303370355295,1.0226499163278435,-0.9989340774038638,-0.3674804982061379,1.3664145756100015
FERMT1,-1.264794628572485,1.180321497591417,0.08447313098106843,-1.327424788386729,1.0861547848010493,0.24127000358568,-1.406362968750884,0.8320511863796367,0.5743117823712475
CHRM3,-1.4068595598338447,0.5786915172302409,0.8281680426036028,-0.8335787135201087,1.4061628435053886,-0.5725841299852804,-0.9925613091503951,1.3687005853901923,-0.3761392762397966
LITAF,-0.9475183900114854,-0.435447423669315,1.3829658136808005,-1.4138818904542128,0.733464517464198,0.6804173729900147,-1.207395802632106,1.2413863298136847,-0.03399052718157681
SYT6,1.213770495368712,0.02166140009072639,-1.2354318954594385,-1.2240607976641755,1.2254278007798842,-0.001367003115708796,-1.288108886385612,1.149605254299676,0.13850363208593625
VAT1L,0.6937256969549798,-1.4141296815788675,0.7204039846238903,-0.9448893258906703,1.3837010052351466,-0.4388116793444761,-0.8658802768451607,1.4012833160346858,-0.5354030391895274
BEND4,-1.3114116503712352,1.1141266061859392,0.19728504418529744,-1.2580815411189066,1.1884360931372413,0.06964544798166564,-1.2338474191489202,1.2154347033704485,0.018412715778472036
