Genename,TSS1,TSS2,TSS3,RNA1,RNA2,RNA3,Distal1,Distal2,Distal3
HIST1H2BH,-0.7987388094094846,1.410068289515317,-0.6113294801058324,-0.856583984738002,1.4028164445084919,-0.5462324597704893,-0.07382318218816558,1.259986651476196,-1.1861634692880303
PRTFDC1,1.2859791644949115,-0.13338857031387516,-1.1525905941810344,1.3136096578407053,-0.2031284573505763,-1.1104812004901299,0.9029398268190216,-1.394085822387301,0.4911459955682807
MDFIC,0.29979030886328256,-1.346805480242954,1.0470151713796716,1.3854402983988006,-0.44692270275318113,-0.9385175956456191,-0.38903989162595204,1.3720113351839345,-0.9829714435579827
BTBD3,-0.19138993420315498,-1.117782440934635,1.3091723751377895,0.46596477473228093,0.9233729306618105,-1.3893377053940894,1.4142033551762492,-0.702448436117909,-0.7117549190583398
CAMSAP2,1.4141897767727827,-0.6999916177657811,-0.714198159007002,1.4024723546181517,-0.8587273545186669,-0.5437450000994856,0.7017078648459046,0.712491991681735,-1.4141998565276395
NDUFAF6,1.339029865955521,-0.2754981014091607,-1.0635317645463565,1.2859708781300034,-0.13336874442955093,-1.1526021337004508,-1.411872596514379,0.6354960511763575,0.776376545338022
MGAT5B,0.4502543717962217,-1.3861410749230414,0.9358867031268183,0.03509164049538829,1.206821948266125,-1.2419135887615116,-0.7003164454982497,1.414191895676595,-0.7138754501783451
TEAD3,1.13588373604459,-1.2975486824381406,0.16166494639355153,1.4114054470852244,-0.7828454351466122,-0.6285600119386126,0.1382784648651386,-1.2880154770185035,1.1497370121533614
ERRFI1,1.370601952522987,-0.9871083913545157,-0.3834935611684719,1.4011348403810335,-0.5343871888065997,-0.8667476515744337,1.4089260312150285,-0.8102721783652912,-0.5986538528497372
PTCH1,0.9563452750564974,-1.3804213760465325,0.4240761009900352,1.413654091030459,-0.6723802287590478,-0.7412738622714127,1.0168279044253787,0.34278858513457233,-1.3596164895599534
CCDC14,1.3027568192452639,-0.17480889482707768,-1.1279479244181885,1.3967218007597666,-0.5063292403292626,-0.8903925604305026,1.4078027994951803,-0.5874176742742444,-0.820385125220936
RHOBTB1,1.366521712927291,-0.3678820270002603,-0.9986396859270321,1.3934671180446174,-0.4877191021148445,-0.9057480159297718,1.4046261362392485,-0.5599436084549864,-0.8446825277842612
LUM,1.4107977206404312,-0.6203262820307158,-0.7904714386097147,1.4136048040826839,-0.7427341902763782,-0.6708706138063056,0.7674628414267193,0.6449816540902615,-1.4124444955169801
LTBP4,-0.23129765145424186,-1.0926044785612685,1.3239021300155123,1.4005945822677108,-0.8698588200599423,-0.5307357622077685,-1.411395646909175,0.7829748958264968,0.6284207510826786
BTRC,-0.14718416752959868,-1.144501761397167,1.2916859289267653,1.3119548029176247,-0.19872370128129271,-1.1132311016363314,-1.2862284596277713,0.13398530485216417,1.1522431547756071
ARHGEF7,1.054518759496133,0.2888243410815212,-1.3433431005776453,1.4141736181516547,-0.7162918779453965,-0.697881740206258,-0.6159013760755108,1.41044745502223,-0.7945460789467192
